Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
43 Balliang Street,"420,500",16 Mar 2013,,,1.0,,,289,,3,1,1,South Geelong,26
105 Balliang Street,"560,000",Mar 2013,"52,000",Jun 1987,,,,"1,071",,,,,South Geelong,26
25 Birkett Place,"379,500",Mar 2013,,,,,,"1,231",,,,,South Geelong,26
2/35 Fyans Street,"177,000",Feb 2013,"100,000",Feb 2004,,,,49,,,,,South Geelong,26
42 Gravel Pits Road,"300,000",Feb 2013,"250,000",Mar 2005,,,,"3,282",,3,1,1,South Geelong,26
411 Yarra Street,"490,000",Feb 2013,"94,500",Jul 1991,,,,423,130,3,1,2,South Geelong,26
6-8 Birkett Place,"520,000",Feb 2013,"462,000",Aug 2011,,"42,000",Aug 2017,877,,,,,South Geelong,26
2/7 Fleming Way,"470,000",Jan 2013,,,,,,235,161,,,,South Geelong,26
7 Fleming Way,"470,000",Jan 2013,,,,440,Jun 2019,235,161,,,,South Geelong,26
46 Little Fyans Street,"368,500",Dec 2012,"185,000",Oct 2005,,,,"1,039",,,,,South Geelong,26
191 Swanston Street,"355,552",Nov 2012,,,,300,Jan 2013,490,106,4,1,2,South Geelong,26
4-6 Foster Street,"560,000",Nov 2012,"122,500",Aug 1987,,390,May 2014,919,,5,1,3,South Geelong,26
4 Foster Street,"560,000",Nov 2012,,,,400,Dec 2018,920,,4,2,5,South Geelong,26
78-108 GRAVEL PITS Road,"670,000",Nov 2012,,,,,,"25,832",,,,,South Geelong,26
106 Balliang Street,"341,000",Nov 2012,,,,,,"1,046",,,,,South Geelong,26
2/14 Birkett Place,"350,900",Nov 2012,,,,,,857,,,,,South Geelong,26
243-245 Yarra Street,"605,000",27 Oct 2012,,,1.0,,,,,3,1,2,South Geelong,26
2/2 Foster Street,"241,000",20 Oct 2012,"56,000",May 1986,1.0,320,Jan 2017,134,,1,1,1,South Geelong,26
138 Swanston Street,"417,000",13 Oct 2012,"94,100",Jun 1991,1.0,300,Dec 2012,"2,093",,3,1,4,South Geelong,26
243 Yarra Street,"605,000",Oct 2012,,,,,,646,145,3,1,2,South Geelong,26
2/16 Birkett Place,"361,900",Oct 2012,,,,,,857,,2,1,1,South Geelong,26
11 Balliang Street,"648,500",01 Sep 2012,,,1.0,,,460,206,3,2,2,South Geelong,26
1/7 Carr Street,"465,000",Aug 2012,,,,,,,,,,,South Geelong,26
203 Yarra Street,"475,000",Aug 2012,,,,,,210,,3,1,2,South Geelong,26
3 Birkett Place,"225,500",Aug 2012,"176,000",Dec 2007,,,,875,172,,,,South Geelong,26
