,address,sold,last sold,rent,house_info,land_size
62,9 Findon Street,"Sold $392,500 in Jan 2017","Last Sold $52,000 in Nov 1997", ,House: 2  1  1 ,Land size: 252 sqm
63,8 Foster Street,"Sold $612,000 in 22 Dec 2016(Auction)","Last Sold $130,000 in Aug 1994", ,House: 4  2  1 ,Land size: 460 sqm
64,37 Foster Street,"Sold $493,000 in 17 Dec 2016(Auction)","Last Sold $120,000 in Oct 2000", ,House: 3  1  2 ,Land size: 485 sqm
65,5 Hopkins Street,"Sold $640,000 in Dec 2016","Last Sold $465,000 in Dec 2007", ,House: 3  2  2 ,Land size: 260 sqm
66,4/80 Balliang Street,"Sold $271,000 in Nov 2016", ,Rent $270pw in Jan 2016, ,Land size: 123 sqm
67,9 Hopkins Street,"Sold $445,000 in Nov 2016","Last Sold $375,000 in Apr 2012",Rent $365pw in Dec 2017,House: 2  2  2 ,Land size: 174 sqm | Building size: 129 sqm
68,119 Fyans Street,"Sold $375,000 in 05 Nov 2016(Auction)","Last Sold $290,000 in 2009", ,House: 2  1  1 ,Land size: 329 sqm | Building size: 84 sqm
69,1 Lonsdale Street,"Sold $372,000 in Oct 2016","Last Sold $337,500 in Mar 2014",Rent $320pw in Sep 2017,House: 4  1  1 ,Land size: 207 sqm
70,3/80 Balliang Street,"Sold $270,000 in Oct 2016", ,Rent $310pw in Nov 2019, ,"Land size: 1,026 sqm"
71,22 Foster Street,"Sold $440,000 in 16 Oct 2016(Auction)", , ,House: 3  1  ,Land size: 153 sqm | Building size: 101 sqm
72,32 Wood Street,"Sold $485,000 in Oct 2016","Last Sold $65,000 in Oct 1988", ,House: ,"Land size: 1,951 sqm"
73,89 Barwon Terrace,"Sold $1,100,000 in Sep 2016","Last Sold $214,000 in Nov 2001","Rent $70,000pw in Feb 2015", ,"Land size: 2,030 sqm | Building size: 850 sqm"
74,407 Yarra Street,"Sold $620,500 in Sep 2016","Last Sold $225,000 in Apr 2004", ,House: 3  2  4 ,Land size: 468 sqm | Building size: 151 sqm
75,24-28 RAPTOR Place,"Sold $346,500 in Sep 2016", , , ,"Land size: 1,348 sqm"
76,10 Birkett Place,"Sold $374,000 in Aug 2016","Last Sold $160,000 in Dec 2007", ,House: ,Land size: 875 sqm
77,205 Swanston Street,"Sold $403,000 in Aug 2016","Last Sold $307,500 in Dec 2010",Rent $200pw in Dec 2007,House: 2  1  2 ,Land size: 346 sqm | Building size: 120 sqm
78,347 Moorabool Street,"Sold $616,000 in Aug 2016","Last Sold $77,500 in Aug 1987", ,House: ,Land size: 446 sqm
79,273 Bellerine Street,"Sold $598,000 in Jul 2016","Last Sold $124,000 in Sep 1998", ,House: 4  2  2 ,Land size: 464 sqm | Building size: 142 sqm
80,237 Bellerine Street,"Sold $332,000 in Jun 2016", , ,House: 3  1  , 
81,1/87 Fyans Street,"Sold $495,000 in Jun 2016","Last Sold $325,000 in Aug 2012",Rent $540pw in Nov 2019,House: 4  2  1 ,Land size: 304 sqm | Building size: 145 sqm
82,11 Gravel Pits Road,"Sold $650,000 in Jun 2016","Last Sold $425,000 in May 2003", , ,"Land size: 20,000 sqm"
