,address,sold,last sold,rent,house_info,land_size
131,23 Basford Court,"Sold $357,000 in Nov 2016","Last Sold $140,000 in Jun 2011", ,House: 3  2  2 ,Land size: 368 sqm | Building size: 128 sqm
132,31 St Cuthberts Court,"Sold $455,000 in Oct 2016","Last Sold $125,000 in Feb 2000", ,House: 4  2  3 ,Land size: 629 sqm | Building size: 229 sqm
133,13 Macfarlane Street,"Sold $440,000 in Oct 2016","Last Sold $159,000 in Jul 2009", ,House: 4  2  2 ,Land size: 530 sqm | Building size: 168 sqm
134,1/3 Inala Court,"Sold $270,000 in Sep 2016","Last Sold $158,500 in Sep 2002",Rent $340pw in Nov 2019, ,Land size: 363 sqm
135,10 Marvins Place,"Sold $368,000 in Sep 2016","Last Sold $145,000 in Jun 2009",Rent $370pw in Jul 2016,House: 3  2  2 ,Land size: 496 sqm
136,5 Liam Lane,"Sold $426,500 in Sep 2016","Last Sold $366,000 in Jul 2009", ,House: 3  2  5 ,"Land size: 2,272 sqm | Building size: 158 sqm"
137,28 Macfarlane Street,"Sold $355,000 in Sep 2016","Last Sold $325,000 in Aug 2012",Rent $410pw in Feb 2020,House: 3  2  1 ,Land size: 377 sqm | Building size: 114 sqm
138,14 Orpington Crescent,"Sold $161,000 in Aug 2016","Last Sold $150,000 in Jan 2012", , ,Land size: 374 sqm | Building size: 185 sqm
139,153 Barwarre Road,"Sold $275,000 in Aug 2016", , ,House: 3  1  1 ,Land size: 145 sqm
140,2 Inala Court,"Sold $408,000 in Aug 2016","Last Sold $58,500 in Apr 1983",Rent $420pw in Oct 2017,House: 4  2  2 ,"Land size: 1,392 sqm | Building size: 163 sqm"
141,18 Marvins Place,"Sold $390,000 in Aug 2016", ,Rent $375pw in Aug 2015,House: 3  2  2 ,Land size: 487 sqm
142,3/10 Oriondo Way,"Sold $325,000 in Jul 2016","Last Sold $156,000 in Jan 2012", , ,Land size: 353 sqm
143,27 Krisanway Drive,"Sold $350,000 in Jul 2016","Last Sold $122,900 in Mar 2009", ,House: 3  2  1 ,Land size: 331 sqm | Building size: 131 sqm
144,3 Barwarre Road,"Sold $425,000 in Jul 2016","Last Sold $172,500 in Jun 2012",Rent $460pw in Aug 2018,House: 4  2  2 ,Land size: 544 sqm
145,9 Emilija Court,"Sold $425,000 in May 2016","Last Sold $143,000 in Dec 2008", ,House: 3  2  2 ,Land size: 482 sqm
146,62-80 Horseshoe Bend Road,"Sold $1,310,000 in May 2016","Last Sold $635,000 in Feb 2011",Rent $540pw in Oct 2017, ,"Land size: 48,400 sqm"
147,12 Ardeche Lane,"Sold $177,000 in May 2016","Last Sold $172,500 in May 2012", , ,Land size: 526 sqm
148,35 Werner Avenue,"Sold $395,000 in May 2016","Last Sold $372,800 in May 2013", ,House: 4  2  2 ,Land size: 481 sqm | Building size: 143 sqm
149,52 Marshalltown Road,"Sold $175,000 in May 2016", , , ,Land size: 480 sqm
150,Lot 23 232-270 Barwon Heads Road,"Sold $170,000 in May 2016", , , , 
151,76 Station Road,"Sold $395,000 in May 2016", , , ,Land size: 399 sqm
152,23 272-280 Barwarre Road 'Barwarre Estate Stage 7',"Sold $170,000 in May 2016", , , ,Land size: 416 sqm
153,Lot 23,"Sold $170,000 in May 2016", , , ,Land size: 416 sqm
154,14 Badminton Court,"Sold $454,000 in May 2016","Last Sold $180,000 in May 2014", ,House: 4  2  2 ,Land size: 480 sqm | Building size: 209 sqm
155,22 Adair Court,"Sold $360,000 in May 2016","Last Sold $168,000 in Nov 2010", ,House: 3  2  2 ,Land size: 464 sqm
156,9 Esme Court,"Sold $165,000 in Apr 2016", ,Rent $390pw in Jan 2017,House: 3  2  2 ,Land size: 386 sqm | Building size: 137 sqm
157,Lot 25 9 Esme Court,"Sold $165,000 in Apr 2016", , , , 
158,25 272-280 Barwarre Road 'Barwarre Estate Stage 7',"Sold $165,000 in Apr 2016", , , ,Land size: 386 sqm
159,"Lot 25, 232-270 Esme Court","Sold $165,000 in Apr 2016", , , ,Land size: 386 sqm
160,6 St Cuthberts Court,"Sold $340,000 in Apr 2016","Last Sold $100,000 in Aug 2005",Rent $330pw in Jul 2015,House: 3  2  4 ,Land size: 374 sqm | Building size: 120 sqm
161,26B MACFARLANE Street,"Sold $179,500 in Apr 2016", ,Rent $425pw in Nov 2018, ,Land size: 407 sqm
162,6 Krisanway Drive,"Sold $446,000 in Mar 2016", , ,House: 4  2  2 ,Land size: 580 sqm | Building size: 168 sqm
163,16 MORETTI Court,"Sold $171,500 in Mar 2016", ,Rent $400pw in Apr 2018, ,Land size: 301 sqm
164,24 Basford Court,"Sold $429,000 in Mar 2016", , ,House: 4  2  2 , 
165,440 Barwon Heads Road,"Sold $912,000 in 19 Mar 2016(Auction)", , , , 
166,17 MORETTI Court,"Sold $171,500 in Feb 2016", ,Rent $410pw in Dec 2019, ,Land size: 301 sqm
167,125 Barwarre Road,"Sold $422,000 in Feb 2016","Last Sold $141,000 in Mar 2009",Rent $500pw in Jul 2015,House: 4  2  3 ,Land size: 471 sqm
168,11 Grove Road,"Sold $377,000 in Feb 2016","Last Sold $347,500 in Feb 2010", ,House: 3  1  2 ,Land size: 450 sqm | Building size: 120 sqm
169,1-2 Speranza Court,"Sold $342,500 in Feb 2016", ,Rent $350pw in Jan 2016,House: 3  2  2 ,Land size: 381 sqm
170,11 Werner Avenue,"Sold $440,000 in Feb 2016","Last Sold $150,500 in Mar 2009", ,House: 4  2  2 ,Land size: 534 sqm | Building size: 183 sqm
171,5 MORETTI Court,"Sold $184,000 in Feb 2016", ,Rent $420pw in Sep 2016,House: 4  2  2 ,Land size: 470 sqm
172,39 Werner Avenue,"Sold $445,000 in Feb 2016","Last Sold $148,500 in Oct 2009", ,House: 4  2  2 ,Land size: 534 sqm | Building size: 201 sqm
173,14-15 MORETTI Court,"Sold $176,500 in Jan 2016", ,Rent $370pw in Sep 2017,House: 4  2  2 ,Land size: 374 sqm
174,3/70-72 Marshalltown Road,"Sold $285,000 in Jan 2016","Last Sold $90,500 in Jun 2000", , ,Land size: 229 sqm
175,Lot 3 Stage 2Macfarlane Street,"Sold $174,000 in Jan 2016", , , ,Land size: 548 sqm
176,4 MORETTI Court,"Sold $175,000 in Jan 2016", , ,House: 2  1  1 ,Land size: 410 sqm
177,9 ALLEGRO Court,"Sold $169,000 in Jan 2016", ,Rent $400pw in Dec 2017,House: 2  1  ,Land size: 319 sqm
178,19 MORETTI Court,"Sold $171,000 in Jan 2016", , , ,Land size: 347 sqm
179,12 MORETTI Court,"Sold $175,000 in Jan 2016", ,Rent $440pw in Sep 2019,House: 4  2  2 ,Land size: 362 sqm
180,L315 Moretti Court,"Sold $166,500 in Jan 2016", , , ,Land size: 364 sqm
181,L309 Moretti Court,"Sold $172,250 in Jan 2016", , , ,Land size: 410 sqm
182,L307 Moretti Court,"Sold $171,000 in Jan 2016", , , ,Land size: 380 sqm
183,L316 Moretti Court,"Sold $172,250 in Jan 2016", , , ,Land size: 363 sqm
184,32 MacFarlane Street,"Sold $346,000 in Dec 2015","Last Sold $145,000 in Apr 2010",Rent $400pw in Jan 2019,House: 3  1  1 ,Land size: 358 sqm | Building size: 114 sqm
185,18 MORETTI Court,"Sold $171,500 in Dec 2015", ,Rent $395pw in Sep 2016,House: 4  2  2 ,Land size: 316 sqm
186,20 MORETTI Court,"Sold $171,000 in Dec 2015", , , ,Land size: 380 sqm
