,address,sold,last sold,rent,house_info,land_size
163,4702/4 Yarra Street,"Sold $555,000 in Aug 2018","Last Sold $441,000 in 2009",Rent $395pw in Feb 2008, ,"Land size: 2,737 sqm"
164,184 Garden Street,"Sold $730,000 in 04 Aug 2018(Auction)","Last Sold $546,000 in Apr 2011",Rent $480pw in Oct 2016,House: 3  2  1 ,Land size: 359 sqm | Building size: 149 sqm
165,2/11 York Street,"Sold $805,000 in 04 Aug 2018(Auction)","Last Sold $580,000 in Apr 2014", ,Townhouse: 3  3  1 ,Land size: 527 sqm
166,404/120 Brougham Street,"Sold $920,000 in Aug 2018","Last Sold $830,000 in Mar 2011(Auction)", , ,Land size: 934 sqm | Building size: 119 sqm
167,402/100 Western Beach Road,"Sold $525,000 in Jul 2018", ,Rent $450pw in Jun 2019, ,Land size: 992 sqm
168,11 FAGGS Place,"Sold $640,000 in 28 Jul 2018(Auction)","Last Sold $485,000 in Dec 2015",Rent $460pw in Oct 2018,House: 3  2  1 ,Land size: 154 sqm
169,601/120 Brougham Street,"Sold $1,310,000 in Jun 2018","Last Sold $1,000,000 in Mar 2008",Rent $300pw in Jun 2012,Townhouse: 2  2  1 ,Land size: 934 sqm
170,230 Verner Street,"Sold $720,000 in Jun 2018", , , , 
171,40 Bourke Crescent,"Sold $840,000 in Jun 2018","Last Sold $577,500 in Sep 2014",Rent $495pw in Jul 2018,House: 3  2  1 ,Land size: 285 sqm
172,3/37 Francis Street,"Sold $387,000 in Jun 2018", , , , 
173,4 Suttons Lane,"Sold $656,000 in Jun 2018","Last Sold $575,000 in May 2017",Rent $390pw in Sep 2012,House: 3  2  2 ,Land size: 272 sqm
174,151 Swanston Street,"Sold $581,000 in Jun 2018","Last Sold $272,500 in Jun 2009",Rent $335pw in Nov 2015,House: 2  1  1 ,Land size: 251 sqm
175,29 Faggs Place,"Sold $674,000 in Jun 2018","Last Sold $460,000 in Jul 2013", ,House: 3  2  1 ,Land size: 155 sqm
176,16 Brownbill Street,"Sold $655,000 in Jun 2018", , ,House: 3  1  1 ,Land size: 465 sqm
177,42 Mundy Street,"Sold $950,000 in May 2018","Last Sold $198,622 in Jan 2004", ,House: 3  2  2 ,Land size: 210 sqm | Building size: 133 sqm
178,3/35 Spring Street,"Sold $550,000 in May 2018", , , , 
179,5/154 Bellerine Street,"Sold $300,000 in May 2018","Last Sold $271,858 in May 2014",Rent $305pw in Jan 2019, ,Land size: 999 sqm
180,402/8 Gheringhap Street,"Sold $350,000 in May 2018","Last Sold $338,000 in Sep 2016",Rent $320pw in Mar 2017, ,Land size: 774 sqm | Building size: 54 sqm
181,53 Little Ryrie Street,"Sold $810,000 in May 2018", , ,Townhouse: 3  2  2 ,Land size: 159 sqm
182,148 Verner Street,"Sold $900,000 in May 2018","Last Sold $270,000 in Aug 2005",Rent $320pw in Jan 2008,House: 4  2  3 ,Land size: 435 sqm | Building size: 150 sqm
183,141 Verner Street,"Sold $1,240,000 in May 2018","Last Sold $194,000 in Jun 2000",Rent $750pw in Jul 2018,House: 3  2  1 ,Land size: 516 sqm
184,410/6 Bellarine Street,"Sold $660,000 in May 2018", , , , 
185,410/6 Bellerine Street,"Sold $660,000 in May 2018", , , , 
186,71 Carr Street,"Sold $494,500 in Apr 2018", ,Rent $320pw in May 2018,House: 3  1  1 ,Land size: 420 sqm
187,243 Bellerine Street,"Sold $745,000 in Apr 2018","Last Sold $135,000 in Dec 1996",Rent $430pw in Jun 2019,House: 3  2  1 ,Land size: 378 sqm
188,305/120 Brougham Street,"Sold $890,000 in Apr 2018","Last Sold $729,000 in Mar 2012",Rent $575pw in Aug 2011, ,Land size: 934 sqm | Building size: 127 sqm
189,17 McKillop Street,"Sold $560,000 in 21 Apr 2018(Auction)","Last Sold $425,500 in Sep 2013(Auction)",Rent $430pw in Apr 2020,House: 2  1  ,Land size: 217 sqm
190,304/8-10 McLarty Place,"Sold $480,000 in Apr 2018","Last Sold $420,000 in Nov 2014",Rent $420pw in Feb 2020, ,Land size: 566 sqm
191,48 Eastern Beach Road,"Sold $4,000,000 in Apr 2018","Last Sold $1,300,000 in Nov 2000", ,House: 5  3  3 ,Land size: 22 sqm
192,128 Verner Street,"Sold $500,000 in Mar 2018", , , ,Land size: 336 sqm
193,302/16 The Esplanade South,"Sold $490,000 in Mar 2018", , , , 
194,5/151 Gheringhap Street,"Sold $398,500 in Mar 2018","Last Sold $210,500 in Nov 2004", ,Townhouse: 2  1  1 ,Land size: 134 sqm
195,232 Myers Street,"Sold $580,000 in Mar 2018", , ,House: 3  1  1 ,Land size: 354 sqm
196,13 Bourke Crescent,"Sold $800,000 in Mar 2018", , ,House: 3  1  2 ,Land size: 567 sqm
197,4 McMillan Avenue,"Sold $445,000 in Mar 2018","Last Sold $295,000 in Jun 2014",Rent $360pw in Sep 2018, ,Land size: 100 sqm
