,address,sold,last sold,rent,house_info,land_size
14,25 Broughton Drive,"Sold $512,000 in Aug 2020","Last Sold $430,000 in Aug 2016", ,House: 3  1  2 ,Land size: 465 sqm
15,20 Jinjella Road,"Sold $884,000 in 08 Aug 2020(Auction)","Last Sold $65,000 in Jun 1991", , ,Land size: 751 sqm
16,15 Knollbrook Close,"Sold $730,000 in Aug 2020","Last Sold $132,000 in Jan 2004", , ,Land size: 826 sqm
17,48 Barwon Boulevard,"Sold $760,000 in Aug 2020","Last Sold $550,000 in Feb 2016(Auction)", ,House: 3  2  2 ,Land size: 884 sqm | Building size: 180 sqm
18,278 Scenic Road,"Sold $901,500 in 08 Aug 2020(Auction)","Last Sold $517,500 in Sep 2013", ,House: 4  2  5 ,"Land size: 1,043 sqm"
19,12 Avondale Avenue,"Sold $735,000 in Aug 2020","Last Sold $187,000 in Jul 2007", , ,Land size: 620 sqm
20,2/129 Barrabool Road,"Sold $310,000 in Aug 2020","Last Sold $202,000 in Mar 2014",Rent $250pw in Sep 2012,House: 2  1  1 ,Land size: 74 sqm
21,2 Desmond Street,"Sold $630,000 in 05 Aug 2020(Auction)","Last Sold $272,000 in Dec 2007",Rent $180pw in Dec 2004,House: 3  2  2 ,"Land size: 1,003 sqm"
22,5 Carina Way,"Sold $355,000 in Aug 2020", , , ,Land size: 765 sqm
23,22 Patern Street,"Sold $720,000 in Aug 2020", ,Rent $380pw in Aug 2020,House: 3  1  3 ,Land size: 767 sqm
24,56 Belle Vue Avenue,"Sold $601,000 in 03 Aug 2020(Auction)","Last Sold $360,000 in Apr 2016",Rent $400pw in Nov 2017,House: 3  1  1 ,Land size: 765 sqm | Building size: 96 sqm
25,4 Lichen Grove,"Sold $710,000 in 01 Aug 2020(Auction)", , ,House: ,"Land size: 1,011 sqm"
26,6/15-16 Jewell Place,"Sold $590,000 in Jul 2020","Last Sold $370,000 in Apr 2008", , ,Land size: 439 sqm
27,24 Vanessa Avenue,"Sold $751,000 in Jul 2020","Last Sold $65,000 in Sep 1990", ,House: 4  ,Land size: 868 sqm
28,1 Knollbrook Close,"Sold $575,000 in 25 Jul 2020(Auction)","Last Sold $420,000 in Jul 2014", ,House: 3  2  2 ,Land size: 565 sqm | Building size: 192 sqm
29,11 Shire Court,"Sold $365,000 in Jul 2020","Last Sold $66,700 in Jul 2001", ,House: 4  2  2 ,Land size: 682 sqm
30,6/15 Jewell Place,"Sold $590,000 in Jul 2020","Last Sold $370,000 in Apr 2008", , ,Land size: 439 sqm
31,10 Lipizzaner Court,"Sold $980,000 in Jul 2020","Last Sold $597,500 in Jun 2016",Rent $480pw in Jul 2015,House: 4  2  2 ,Land size: 562 sqm | Building size: 272 sqm
32,2/127 Barrabool Road,"Sold $639,000 in Jul 2020", , , ,Land size: 148 sqm
33,17 Nedlands Drive,"Sold $770,000 in Jul 2020","Last Sold $173,000 in Jan 2009", , ,Land size: 729 sqm
34,2/168 Thornhill Road,"Sold $360,000 in Jul 2020","Last Sold $297,000 in Feb 2015",Rent $330pw in Apr 2019, ,Land size: 264 sqm
35,36 Porter Avenue,"Sold $521,000 in Jul 2020", , ,House: 2  1  2 ,Land size: 589 sqm
36,22 Montrose Place,"Sold $930,000 in Jul 2020", , ,House: 4  2  2 ,Land size: 951 sqm
37,14 Rathmines Place,"Sold $600,000 in Jul 2020","Last Sold $330,000 in May 2004",Rent $395pw in Apr 2012,House: 3  1  2 ,Land size: 411 sqm
38,7 Percy Jones Court,"Sold $822,000 in Jul 2020","Last Sold $568,000 in Dec 2011", ,House: 4  2  4 ,Land size: 913 sqm | Building size: 226 sqm
39,16 Duggan Court,"Sold $640,000 in 11 Jul 2020(Auction)", , ,House: ,Land size: 712 sqm
40,18 Aringa Avenue,"Sold $642,000 in Jul 2020", , ,House: ,Land size: 632 sqm
41,15 Villawood Court,"Sold $657,000 in 11 Jul 2020(Auction)","Last Sold $53,000 in Mar 1994", , ,Land size: 924 sqm
42,16 Moreton Bay Drive,"Sold $692,000 in 11 Jul 2020(Auction)","Last Sold $550,000 in Jun 2017", ,House: 3  1  2 ,Land size: 593 sqm
43,32 Molesworth Drive,"Sold $790,000 in Jul 2020","Last Sold $580,000 in Feb 2011", ,House: 4  2  2 ,Land size: 718 sqm
44,12 Kennedy Grove,"Sold $570,000 in 11 Jul 2020(Auction)","Last Sold $345,000 in May 2012",Rent $370pw in May 2012,House: 3  1  1 ,Land size: 586 sqm | Building size: 118 sqm
45,124 Province Boulevard,"Sold $260,000 in Jul 2020","Last Sold $215,000 in May 2018", , ,Land size: 751 sqm
46,70 Augustine Drive,"Sold $722,500 in Jul 2020","Last Sold $487,500 in Mar 2013",Rent $450pw in Dec 2015,House: 4  2  2 ,Land size: 704 sqm | Building size: 230 sqm
47,1/7 Leigh Road,"Sold $605,000 in Jul 2020", ,Rent $450pw in Aug 2017, ,Land size: 310 sqm
48,11 Northbridge Road,"Sold $620,000 in Jul 2020","Last Sold $155,000 in Dec 2016", , ,Land size: 357 sqm
49,21 Cara Road,"Sold $756,000 in Jul 2020","Last Sold $430,000 in Aug 2010",Rent $340pw in Dec 2014,House: 3  2  2 ,Land size: 817 sqm | Building size: 165 sqm
50,43 Cara Road,"Sold $595,000 in 27 Jun 2020(Auction)","Last Sold $58,000 in Mar 1980", ,House: 3  2  2 ,Land size: 687 sqm
51,3 Ettric Way,"Sold $560,000 in Jun 2020","Last Sold $437,000 in Mar 2016",Rent $410pw in May 2015,House: 3  2  2 ,Land size: 362 sqm | Building size: 128 sqm
52,14 Clydesdale Way,"Sold $733,800 in Jun 2020","Last Sold $530,000 in May 2013", ,House: 3  2  2 ,Land size: 708 sqm
53,96 Fogarty Avenue,"Sold $815,000 in Jun 2020","Last Sold $570,000 in May 2006", ,House: 4  2  2 ,Land size: 665 sqm
54,3/132 South Valley Road,"Sold $402,000 in Jun 2020","Last Sold $283,000 in Apr 2014", , ,Land size: 187 sqm | Building size: 71 sqm
55,8 Highpoint Crescent,"Sold $296,000 in Jun 2020", , , ,Land size: 726 sqm
56,9/12 Cedar Grove,"Sold $359,000 in Jun 2020","Last Sold $255,000 in Feb 2015",Rent $340pw in May 2019, ,"Land size: 3,682 sqm"
57,26 Pepperdine Way,"Sold $1,062,500 in Jun 2020","Last Sold $307,500 in Apr 2016", , ,Land size: 683 sqm
58,2/25 Elizabeth Street,"Sold $325,000 in Jun 2020","Last Sold $244,000 in Feb 2012",Rent $260pw in Nov 2015,House: 2  1  1 ,Land size: 95 sqm
59,4 Highpoint Crescent,"Sold $250,000 in Jun 2020", , , ,Land size: 659 sqm
60,3 Swanbourne Avenue,"Sold $640,000 in Jun 2020","Last Sold $552,000 in Jul 2015",Rent $550pw in Apr 2013,House: 3  2  2 ,Land size: 309 sqm | Building size: 206 sqm
61,2 Lansbury Crescent,"Sold $635,000 in Jun 2020","Last Sold $435,000 in Oct 2011", ,House: 3  2  2 ,Land size: 675 sqm
